OrderID,CustomerID,OrderDate,Product,Category,Quantity,Price,PaymentMethod,TotalAmount,Month
1001,151,2023-02-03,Phone,Accessories,4,646.44,PayPal,2585.76,2023-02
1002,192,2023-04-21,Headphones,Accessories,2,1316.9,UPI,2633.8,2023-04
1003,114,2023-09-21,Headphones,Accessories,4,975.03,UPI,3900.12,2023-09
1004,171,2023-08-24,Phone,Accessories,2,1258.78,Credit Card,2517.56,2023-08
1005,160,2023-03-24,Monitor,Accessories,3,774.18,Credit Card,2322.54,2023-03
1006,120,2023-02-11,Camera,Electronics,4,825.79,UPI,3303.16,2023-02
1007,182,2023-04-11,Headphones,Accessories,1,259.36,UPI,259.36,2023-04
1008,186,2023-01-06,Monitor,Accessories,4,1186.78,Credit Card,4747.12,2023-01
1009,174,2023-06-29,Phone,Accessories,3,658.11,COD,1974.33,2023-06
1010,174,2023-10-09,Monitor,Accessories,1,775.12,UPI,775.12,2023-10
1011,187,2023-11-16,Laptop,Electronics,1,1188.39,PayPal,1188.39,2023-11
1012,199,2023-08-14,Headphones,Electronics,2,918.33,PayPal,1836.66,2023-08
1013,123,2023-11-11,Phone,Electronics,1,341.59,PayPal,341.59,2023-11
1014,102,2023-12-31,Camera,Accessories,1,905.84,UPI,905.84,2023-12
1015,121,2023-08-17,Phone,Accessories,4,641.07,COD,2564.28,2023-08
1016,152,2023-10-16,Camera,Electronics,3,730.81,COD,2192.43,2023-10
1017,101,2023-05-30,Phone,Electronics,2,91.05,Credit Card,182.1,2023-05
1018,187,2023-10-04,Monitor,Electronics,4,354.54,UPI,1418.16,2023-10
1019,129,2023-07-17,Monitor,Accessories,1,457.51,COD,457.51,2023-07
1020,137,2023-03-11,Monitor,Accessories,1,1083.79,UPI,1083.79,2023-03
1021,101,2023-04-22,Laptop,Electronics,2,66.66,Credit Card,133.32,2023-04
1022,163,2023-01-04,Camera,Electronics,3,642.73,Credit Card,1928.19,2023-01
1023,159,2023-12-16,Monitor,Electronics,2,1389.84,Credit Card,2779.68,2023-12
1024,120,2023-11-27,Laptop,Accessories,4,212.23,PayPal,848.92,2023-11
1025,132,2023-11-14,Camera,Accessories,2,798.82,UPI,1597.64,2023-11
1026,175,2023-12-16,Phone,Accessories,1,1190.46,Credit Card,1190.46,2023-12
1027,157,2023-04-05,Laptop,Electronics,4,1416.67,UPI,5666.68,2023-04
1028,121,2023-06-01,Headphones,Electronics,1,1132.83,PayPal,1132.83,2023-06
1029,188,2023-11-07,Laptop,Accessories,3,1094.82,PayPal,3284.46,2023-11
1030,148,2023-05-17,Laptop,Electronics,1,1248.41,Credit Card,1248.41,2023-05
1031,190,2023-09-04,Camera,Accessories,1,696.99,Credit Card,696.99,2023-09
1032,158,2023-08-31,Phone,Electronics,2,1218.47,COD,2436.94,2023-08
1033,141,2023-01-31,Headphones,Electronics,1,61.55,UPI,61.55,2023-01
1034,191,2023-02-09,Monitor,Electronics,4,1390.61,Credit Card,5562.44,2023-02
1035,159,2023-08-17,Monitor,Electronics,4,692.79,COD,2771.16,2023-08
1036,179,2023-02-05,Laptop,Accessories,3,852.4,UPI,2557.2,2023-02
1037,114,2023-08-11,Camera,Electronics,4,419.58,Credit Card,1678.32,2023-08
1038,161,2023-01-06,Camera,Accessories,2,1126.67,COD,2253.34,2023-01
1039,161,2023-11-18,Monitor,Accessories,3,161.12,COD,483.36,2023-11
1040,146,2023-08-08,Headphones,Accessories,4,1315.32,UPI,5261.28,2023-08
1041,161,2023-03-16,Phone,Electronics,2,1250.77,COD,2501.54,2023-03
1042,150,2023-01-04,Headphones,Accessories,4,363.29,UPI,1453.16,2023-01
1043,154,2023-12-01,Phone,Accessories,4,1223.52,UPI,4894.08,2023-12
1044,163,2023-05-14,Monitor,Accessories,1,1190.22,UPI,1190.22,2023-05
1045,102,2023-04-28,Phone,Electronics,4,966.71,PayPal,3866.84,2023-04
1046,150,2023-04-04,Camera,Electronics,4,591.6,COD,2366.4,2023-04
1047,106,2023-03-03,Laptop,Accessories,2,443.67,UPI,887.34,2023-03
1048,120,2023-07-13,Laptop,Electronics,2,386.09,Credit Card,772.18,2023-07
1049,172,2023-12-01,Monitor,Accessories,1,511.98,PayPal,511.98,2023-12
1050,138,2023-07-22,Camera,Accessories,4,1360.16,PayPal,5440.64,2023-07
1051,117,2023-01-26,Headphones,Electronics,1,162.58,COD,162.58,2023-01
1052,103,2023-06-22,Camera,Accessories,4,1251.86,UPI,5007.44,2023-06
1053,188,2023-10-27,Laptop,Electronics,3,555.89,COD,1667.67,2023-10
1054,159,2023-05-13,Laptop,Electronics,3,806.32,PayPal,2418.96,2023-05
1055,113,2023-11-22,Camera,Accessories,1,1202.0,UPI,1202.0,2023-11
1056,108,2023-04-28,Camera,Electronics,1,1332.35,Credit Card,1332.35,2023-04
1057,189,2023-11-20,Laptop,Electronics,1,549.93,UPI,549.93,2023-11
1058,152,2023-10-02,Headphones,Accessories,2,719.67,PayPal,1439.34,2023-10
1059,101,2023-07-31,Monitor,Accessories,2,651.05,Credit Card,1302.1,2023-07
1060,183,2023-08-13,Monitor,Electronics,2,69.21,UPI,138.42,2023-08
1061,191,2023-01-20,Camera,Electronics,1,479.12,Credit Card,479.12,2023-01
1062,159,2023-04-23,Monitor,Accessories,4,715.82,Credit Card,2863.28,2023-04
1063,170,2023-05-20,Laptop,Electronics,3,646.09,PayPal,1938.27,2023-05
1064,143,2023-02-16,Laptop,Electronics,1,1096.8,Credit Card,1096.8,2023-02
1065,107,2023-01-01,Camera,Electronics,2,607.97,COD,1215.94,2023-01
1066,146,2023-03-31,Camera,Electronics,2,759.6,PayPal,1519.2,2023-03
1067,134,2023-05-22,Camera,Electronics,1,672.93,COD,672.93,2023-05
1068,177,2023-11-16,Headphones,Electronics,1,1123.91,Credit Card,1123.91,2023-11
1069,180,2023-02-07,Monitor,Electronics,2,1301.31,COD,2602.62,2023-02
1070,135,2023-10-20,Camera,Accessories,4,821.24,UPI,3284.96,2023-10
1071,149,2023-05-19,Phone,Accessories,2,1194.68,Credit Card,2389.36,2023-05
1072,103,2023-12-22,Phone,Accessories,2,480.34,UPI,960.68,2023-12
1073,101,2023-11-29,Laptop,Accessories,1,834.99,COD,834.99,2023-11
1074,105,2023-09-16,Monitor,Accessories,4,550.58,UPI,2202.32,2023-09
1075,153,2023-06-10,Camera,Electronics,2,650.59,Credit Card,1301.18,2023-06
1076,103,2023-06-27,Phone,Electronics,2,1112.0,UPI,2224.0,2023-06
1077,153,2023-01-10,Monitor,Electronics,3,1328.41,COD,3985.230000000001,2023-01
1078,192,2023-09-18,Laptop,Electronics,1,226.17,COD,226.17,2023-09
1079,162,2023-05-18,Headphones,Accessories,3,970.23,COD,2910.69,2023-05
1080,117,2023-06-21,Monitor,Electronics,3,894.11,Credit Card,2682.33,2023-06
1081,189,2023-01-13,Monitor,Electronics,2,221.7,COD,443.4,2023-01
1082,143,2023-06-17,Headphones,Accessories,1,357.25,Credit Card,357.25,2023-06
1083,133,2023-05-10,Monitor,Electronics,4,500.95,UPI,2003.8,2023-05
1084,173,2023-03-25,Laptop,Electronics,2,292.05,COD,584.1,2023-03
1085,161,2023-11-17,Laptop,Accessories,4,403.41,UPI,1613.64,2023-11
1086,199,2023-11-15,Headphones,Electronics,4,438.02,PayPal,1752.08,2023-11
1087,113,2023-04-11,Camera,Electronics,1,536.73,UPI,536.73,2023-04
